[00:00] 上一节课的时候
[00:01] 我们讲了软件工程的
[00:03] 来龙去脉
[00:04] 说在什么时候碰到了软件危机
[00:07] 然后大家发现那个时候软件开发不下去了
[00:09] 我们需要一个工程化的方法来
[00:11] 解决软件里面的问题
[00:13] 然后也看了那个Royce的那个老paper
[00:16] 他说
[00:17] 我们希望的大概虽然是大概
[00:21] 是希望有一个intent
[00:22] 然后能够走向spec
[00:24] 然后最后走向implementation
[00:27] 然后最终可以产出一个软件
[00:29] 当然有了implementation以后
[00:30] 你还需要维护它
[00:31] 软件的生命周期没有结束
[00:33] 所以很自然的
[00:35] 这个一路向下就有一个瀑布一样的过程
[00:41] 我在intent的在设计的或者需求的阶段
[00:46] 可能会得到我对这个软件的一些认识
[00:48] 然后这些认识逐渐的会啊进入这个specification的space
[00:53] 它会形成这个依赖的关系
[00:55] 然后在系统实现的时候
[00:57] 你又会有各种模块
[00:59] 函数
[01:00] 代码
[01:01] 测试
[01:01] 各种各样的这个软件里面的artifacts
[01:04] 然后这又会跟
[01:05] 其实当然这是直接和间接的这种data dependency
[01:09] 然后就形成了一个错综复杂的交错的网络
[01:12] 然后这就是软件工程的一个起点
[01:15] 所以Royce 批判了这样的一个模式
[01:17] 他说OK如果你要按照这样开发的话
[01:19] 很可能你在后面
[01:22] 他的分析其实就来自于这个data data
[01:24] Data dependency
[01:25] 如果我在后面这个时候发现有一个东西错了
[01:29] 然后这个错一直会反推
[01:31] 回溯到前面的某一个东西错了
[01:33] 而前面的某一个东西
[01:34] 如果在事后被证明是错的
[01:36] 一个设计不合理
[01:37] 实现达不到预期
[01:38] 然后你的需求或者设计做错了
[01:40] 那它会导致后面一个很大的部分
[01:44] 它会污染到的部分
[01:46] 测试到的部分都会失效
[01:48] 然后你可能会需要重做
[01:49] 会带来大量的成本
[01:51] 然后在这样的一个背景下
[01:54] 软件工程就诞生了
[01:55] 所以软件工程研究的是在这个各个的
[01:58] 做需求分析
[01:59] 做系统设计
[02:00] 做系统实现的时候
[02:01] 我们有什么样的方法
[02:03] 不管是有人文关怀的方法
[02:05] 你需要用checklist
[02:06] 然后说这个产品经理应该怎么管人
[02:08] 这其实也是软件工程的一部分
[02:12] 到比如说你写代码的时候应该怎么写测试
[02:14] 我们有没有可能做自动化的测试
[02:16] 自动化的分析
[02:17] 然后展开了一整个这个软件工程里面的故事
[02:21] 然后其中一个比较有趣的
[02:23] 一个在pre-AI时代的尝试
[02:25] 因为人很难对齐
[02:27] 人和人很难对齐
[02:29] 而且我如果不写文档的话
[02:31] 很有可能如果只剩一份代码
[02:34] 你甚至比如说出错了
[02:35] 都不知道应该去追溯到过去的什么时候
