[00:00] 好我们继续讲生成式软件工程
[00:03] 上一节课我们讲了一点版本管理
[00:05] 然后今天我会正式开始软件工程部分的内容
[00:09] 所以现在算是真正的软件工程课了
[00:11] 虽然当时版本管理也是啊软件工程
[00:14] 当然在上课之前
[00:16] 我可以先分享一些最近一周发生的新闻
[00:19] 当然因为这个热度已经高到一定程度了
[00:21] 所以我相信大家多多少少都已经
[00:24] 看过了
[00:25] 比如说这个TypeSafe AI最新发布了一个
[00:32] 可以实时玩DOOM的这样的一个模型
[00:38] 算是基础模型吧
[00:39] 我觉得它我猜盲猜
[00:41] 它是一个prefill-only的一个
[00:43] 就像就像只能出一个token的transformer
[00:46] 那它可能是别的架构
[00:48] 然后他可以输入一个
[00:49] 比如说输入一个JSON
[00:51] 在这里应该是他把这个毁灭战士的
[00:54] 状态变成一个JSON文件
[00:55] 然后让他给一个决策
[00:57] 然后他大概可以在毫秒级或者百毫秒级
[01:00] 就基本上是一个准人类实时的
[01:04] 这样的你看底下有一个决决策
[01:07] 然后来做一个输出一个token
[01:08] 然后这个token应该是他特微调过了
[01:11] 你可以理解成微调或者训练过了
[01:13] 反正他不说人话
[01:15] 他不说人话
[01:16] 但是他可以做决策
[01:18] 就像训练一个神经网络
[01:19] 但是一个通用的
[01:20] 介于大语言模型和这个以前的那种
[01:23] 比如说决策树
[01:24] 你们可能学过一个非常小的模型之间
[01:26] 但是它又可以真的可以干事
[01:28] 你可以看他真的是可以玩游戏的
[01:30] 然后这个反正这个新闻火了火了
[01:35] 然后他给自己一个名字叫System One
[01:38] 叫真正人类意义上的实时决策
[01:41] 其实这不是一个很新的技术
[01:42] 而且你们过去如果关注过这个赛道的话
[01:46] 会看到
[01:47] 确实也有一些人试图做这种非常快的这个模型
[01:51] 但是这次火了以后
[01:52] 他就正式把这个赛道打开了
[01:54] 把这个赛道打开意味着什么
[01:57] 你们作为AI native时代的年轻人
[02:00] 如果有一个模型可以在100ms
[02:03] 当然你乐观一点
[02:04] 如果模型可以裁的更小一点
[02:05] 可以在50ms或者更短的时间里面
[02:08] 做实时的决策
[02:10] 那你可以用它来干什么
[02:13] 你可以用它来感知这个周围的环境
[02:16] 比如说为什么人和人沟通
[02:18] 和人和机器沟通
[02:19] 你会感觉到有很大的差别
[02:22] 前两天好像我看到一个大家在传
[02:25] 说和AI演员对话
[02:27] 然后那个AI演员突然就开始说广东话了
[02:31] 然后那个另外两个就在他们英语对话的时候
[02:33] 突然就说广东话
[02:35] 而且这个AI的生成的数字
[02:37] 人和人之间是有很大的延迟的
[02:40] 但如果你有一个100ms
[02:42] 200ms的小的决策模型
[02:44] 你可以做什么
[02:45] 你可以让它做决策
[02:47] 然后是实时生成脸上的微表情
[02:50] 根据你说的话
[02:51] 然后这样的话
[02:52] 你就可以得到了
[02:53] 一个非常有实时性人感的东西
[02:56] 这是一个非常好的
[02:57] 就以前的大语言模型
[02:59] 在那个延迟下
[03:00] 他可能有这个能力做
[03:01] 但是做的就不是那么好
[03:03] 但是你今天就可以得
[03:04] 你看他能打打游戏
[03:05] 它就可以生成这个有人感的人
[03:07] 然后他可以甚至可以哄这个小朋友睡觉
[03:10] 因婴儿睡不着的难题就彻底解决了
[03:13] 所以他开了一个非常非常大的赛道
[03:16] 至少这次火了以后
[03:18] 我们看到这件事
[03:19] 当然也许已经之前已经也有人
[03:21] 也有人看到对所以其实我要说的是
[03:28] AI的进化速度其实非常非常的快
[03:32] 这个视频完全是由GPT-6啊生生成的
[03:39] 大概是从你看到
[03:40] 从1956年到58年到1960年
[03:44] 感知与规划机器走出实验室
[03:47] 然后到70年到90年代的人工智能的寒冬
[03:50] 然后这个寒冬到97年的时候
[03:52] 我们是用搜索算法
[03:53] 第一次击败了人类的世界冠军
[03:55] 97年你看这个经历了很长时间的发展
[03:58] 然后到后面你突然发现从2012年开始
[04:02] 这个AlexNet开始
[04:03] 这个世界就发生了很大的变化
[04:09] 发展的速度真的是始料未及
[04:13] 到2016年那个时候我在现场看直播
[04:17] 2017年的时候
[04:18] 我们也关注
[04:19] 那时候我在读PhD
[04:20] 我也在关注像词向量
[04:22] 这个transformer
[04:24] BERT
[04:25] 这些可以用来干什么有趣的有趣的事情
[04:30] 那你看短短的2017年
[04:31] 那个时候你们是在上高中吗
[04:34] 还是在上初中
[04:37] 都没有
[04:38] 现在已经2026年了
[04:39] 这已经是接近10年以前的事情了
[04:42] 然后到2020年的时候
[04:45] 他们训练了GPT-3
[04:47] 然后GPT-3当时是一个大家都觉得很吃惊
[04:52] 我们为什么要做一个那么大参数的模型
[04:54] 然后直到2022年的时候
[04:55] 我们知道为什么为什么需要了
[04:57] 这个到现在也不过是4年的时间
[05:01] 很快的从2020年到2023年
[05:03] 他就可以可以看图了
[05:05] GPT-4o在生成的时候
[05:06] 它可以生成就可以识别语音
[05:09] 它可以多个多个模态
[05:11] 然后到开源模型
[05:14] Gemini
[05:18] 诶生成视频你们很难想象
[05:21] 就今天你看到这个抖音
[05:22] 上面全是这个短AI生成的短视频
[05:25] 然后我们那个计算机学院楼下的那个那个板上
[05:27] 也是AI生成的
[05:28] 就2024年的时候
[05:30] Sora才第一次发布
[05:32] 2024年9月的时候才有的
[05:33] chain of thought的o one的模型
[05:34] 2024年9月
[05:37] 你还能想象从2024年9月到现在
[05:40] 这个GPT-6s pro
[05:41] 就在这么短的时间里面发生了
[05:44] 这么多的事情
[05:45] 第一个开源的这个chain of thought DP c卡one
[05:59] 对这是刚刚发生的事情
[06:03] Millennium problem
[06:05] 哼
[06:05] 然后就这么被暴力大力出奇迹给啊解决了
[06:21] 对最后的彩蛋是这个视频完全是
[06:24] 但不知道是哪位博主直接用GPT-6 + Sora制作的
[06:27] 然后我也我也我也会想
[06:29] 如果我们有一个比较好比较大的素材库
[06:31] 其实本身比如说YouTube或者哔哩哔哩
[06:34] 你本身可以下载
[06:35] 你可以用工具来下载
[06:36] 你就拥有了这个世界上所有的所有东西的入口
[06:39] 然后你创作创造任何东西都会变得
[06:44] 很容易
[06:45] 然后你们你们有没有同学看过这个这个剧
[06:50] 这个Silicon Valley
[06:53] 这是个是个第一S1的101的名场面
[06:57] 他大概是几个
[07:01] 几个伙伴们
[07:03] 他们要去做一件改变世界的事情
[07:09] 千百年来我们这种书呆子一直都被欺负
[07:13] 在人工智能时代终于可以可以出人头地
[07:18] Ok anyway
[07:19] 这个这个这个不重要
[07:21] 但是可以看到的是
[07:24] 这个世界的发展在在加速
[07:26] 就这世界发展的速度可能比比大家想象的要快
[07:29] 所以可能我们要
[07:32] 要可能要回过头来想一想
[07:34] 在就业市场上面临的挑战
[07:36] 但这也同样意味着
[07:37] 这个世界上有很多的机遇
[07:38] 就比如说这个Jev带带火的这样的
[07:42] 一种我能看到的生态
[07:44] 不知道是它一瞬间就会到来
[07:46] 还是可能要等几年再等技术成熟一下
[07:49] 也许要等到一年跟上
[07:51] 但是我们不知道
[07:52] 就你看到今年春晚的时候
[07:54] 那个没有人敢的那个人形机器人
[07:57] 然后你到明年的时候
[07:58] 你就能看到一个非常有人感的
[08:00] 能够实时做出非常棒的微表情的啊机器人
[08:03] 有点可怕对
[08:05] 然后最近也有一个这个Noam Brown的访谈
[08:09] 来自来自OpenAI
[08:12] 他跟我的判断
[08:13] 可能我不知道他泄露了泄露了多少
[08:16] 就是他觉得可能虽然现在的
[08:20] AI模型的短板是也是品位
[08:24] 也就是说他对这个问题的定义是说
[08:27] 模型对接下来应该做什么的
[08:30] 直觉做的还不够好
[08:31] 我们说模型被训练成了这个prompt的舔狗
[08:34] 你做什么
[08:35] 他就会盯着你那个就疯狂的做
[08:37] 然后同时他也有一点点这种reward hacking的倾向
[08:40] 会快速用最快最脏的方式把你要的任务完成
[08:44] 因为对他来说
[08:45] 他把任务完成才得到reward了
[08:47] 那他就不会不断的会往这个方向去强化
[08:51] 那么有的时候它生产的东西
[08:54] 从长期主义角度来看
[08:55] 它是可能不满意的
[08:57] 这就是一个对接下来该做什么的直觉
[08:59] 他现在因为强化训训练有学习有反馈的信号
[09:02] 他就会执着的去做立即有反馈的东西
[09:06] 但是同样我觉得没有什么道理
[09:10] 根本道理
[09:11] 我们不能用更多的合成的数据去告诉模型
[09:15] 你在做这件事情的时候
[09:17] 你可以想的更远一点
[09:18] 无非就是你chain of thought时候
[09:20] 那头几个token决定你要
[09:22] 你要你要做什么
[09:23] 然后他也提到了可验证和不可验证的边界
[09:26] 比如说你觉得可能品味是一个不可验证的东西
[09:28] 但也许没有那么难
[09:30] 但你觉得数学是一个可验证的东西
[09:32] 是可能验证也没有那么的容易
[09:35] 因为你就算是把它formalize了
[09:37] 你的auto formalization
[09:38] 再从你的一个自然语言描述的
