[00:00] 我干了什么呢?这是我的Neovim,对吧?
[00:05] 我按了F5,然后打开了一个浏览器,我们就可以正式地开始上课了。
[00:11] 我们今天站在一个非常重要的交叉路口,你们是Computer Science的同学。
[00:17] 我们在历史上,从你们刚开始进入学校开始,讲计算机发展的历史。
[00:22] 在计算机发展的历史上,其实经历了很多次非常重要的变革。
[00:28] 我觉得最主要的是把昂贵的能力变成了日用品。
[00:32] 我们在1975年的时候,有第一台PC Altair 8800,在图片的左边。
[00:37] 这图片也是AI生成的,你们可以看出有非常明显的AI味儿。
[00:41] 而且它应该不是一个特别强的模型,但没关系。
[00:45] 我说过我上课是跟大家一个比较松散的讨论和交流的过程。
[00:50] 然后我会在之后再把这个课程要重新再切片再整理一次。
[00:56] 从PC到互联网,互联网连接了我们的所有人。
[00:59] 我至今都还记得,你们没有经历过这个时代。
[01:02] 我那个时候可能是上小学快毕业的时候。
[01:06] 然后我装了一个软件叫做ICQ。
[01:09] 你们没有听说过这个名字,ICQ叫ICU。
[01:14] 然后那个时候腾讯的山寨版还叫OICQ。
[01:18] 后来腾讯把它改成了QQ。
[01:21] 然后你在那个时候可以随机地加一个世界上面另一端的人。
[01:25] 然后那时候你加到Native Speaker,它是跟你说英语的。
[01:29] 然后它一下子发很多的英语,打得非常快。
[01:32] 然后你完全无法理解它在跟你说什么。
[01:36] 因为那个时候可能我们刚学一点点英语只会Hello,Good morning。
[01:41] 从互联网然后再到移动互联网,一夜之间我印象很深。
[01:45] 一夜之间所有的菜场卖菜的人都有支付宝和微信的二维码。
[01:51] 就在很短的时间里改变,就一直在改变我们生活的方式。
[01:57] 然后到2022年的时候是ChatGPT,AI是人类历史上增长最快的产品。
[02:04] 我们在这样人类命运的交叉路口,我觉得我们上课的方式,我们该学什么?
[02:09] 其实我们都需要思考,思考,思考一下。
[02:13] 然后就在这样的一个背景下,我决定还是应该开这样的一门Vibe Coding的课程。
[02:20] 为什么呢?前两天的时候,有一段时间之前,大家有一个说法叫AI替我上大学。
[02:28] 我觉得这个说法很对,你想吗?
[02:31] 老师用豆包出题,大家用豆包做作业。
[02:35] 然后在这个整个的闭环过程当中,只有学生没有受到训练。
[02:40] 现在Vibe Coding很厉害,所有的作业直接,对吧?
[02:45] 曾经这个操作系统的作业折磨大家,然后大家在痛苦的折磨中获得提升。
[02:52] 现在不一样了,现在你直接把那个作业的链接丢到Codex里。
[02:56] 你都不需要有复制粘贴的过程,你只要把那个链接丢出来。
[03:00] 甚至你都不需要给他链接,你直接说那个蒋老师的操作系统课第八个实验,能不能去帮我实现啊?
[03:07] 好,就结束了。
[03:10] 对,所以在这样的时代,我们还怎么办,对吧?
[03:14] 还到底应不应该学这些编程啊,这样的东西。
[03:18] 那答案肯定是既应该也不应该,有些能力你还是需要的。
[03:22] 但应该怎么做,我们不知道。
[03:25] 所以我看到的其实大家都在一种非常焦虑的状态上。
[03:31] 第一个,AI帮我上大学了。
[03:34] 那上完以后,我最后什么都没学会,对吧?
[03:36] 我每门课都很好,假设每门课都开卷考试,都是AI答题,我全都答对了。
[03:44] 但我出来以后我发现,我第一个就被AI取代了。
[03:48] 这是第一种焦虑。
[03:50] 第二种焦虑是,我相信这边还有另外的同学,可能延续了你中学的时候很听老师话的状态。
[03:59] 老师说什么你就做什么,老师上课,每一堂课你都认真地去听,然后每一次作业你都认真地做。
[04:04] 然后做完了以后,你发现四年毕业的时候你被大学骗了。
[04:08] 你确实学会了一点什么,但是你学会的东西,AI都会做。
[04:13] 然后你也很迷茫。
[04:15] 然后这个时候,我觉得同学们最切实的,你们现在最痛苦的事情就是抱怨。
