[00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[00:05] 也就是你和AI沟通的那个渠道
[00:08] 就是自然语言的提示词
[00:10] 这基本上就是大家和机器沟通的唯一的接口
[00:14] 也就是从ChatGPT的时代
[00:16] 大家从那个聊天窗口
[00:18] 开始跟ChatGPT聊天的时候
[00:20] 他就知道我们有prompt要给机器一个指令
[00:24] 然后AI会给我们返回很多的内容
[00:26] 可能是文字的代码
[00:28] 图片都有可能通过prompt来生成
[00:30] 然后我第一次感受prompt的力量
[00:34] 是我每年因为我上操作系统课
[00:36] 当时正好是2023年
[00:38] 2023年
[00:38] 那就是22年底ChatGPT刚发布的时候
[00:41] 然后我试图让ChatGPT帮我来讲一讲这内联汇编
[00:46] 现在应该已经没有人写内联汇编了
[00:49] 对就成为了一个传统艺能
[00:51] 然后发现他解释的出奇的好
[00:53] 而且而且真的是一个应该是没有在他训练语料之内的东西
[00:57] 就我稍微故意做了一个地球人应该不会实现的一个内联汇编
[01:02] 但是他做的相当的好
[01:03] 虽然确实不完美
[01:05] 那时刻我就觉得突然间就感觉好像时代要变了
[01:09] 但可能没有到今天这么清楚的
[01:13] 感受到时代会变以及怎么样的变化
[01:16] 那提示词就这样成为了一个新词
[01:19] prompt在这之前
[01:21] 好像
[01:22] 在ChatGPT之前
[01:23] 我们没有用这个意思来讨论过prompt这个
[01:26] 这个东西
[01:27] 实际上你们可能会觉得OK你在聊天框里面打的那段东西叫提示词
[01:32] 帮我生成一个什么什么的游戏
[01:34] 或者帮我把这个作业给做完
[01:36] 但实际上提示词不仅是在你的对话框当中的
[01:40] agent他看到的是一整个agent的上下文
[01:44] 也就是说从从你在和agent聊天之前
[01:49] 这个agent它就能够看到一个叫做system prompt的东西
[01:55] 这也是一个提示词
[01:57] OK它也叫提示词
[01:58] 然后在这个system prompt之后
[02:01] 它还会加载很多的很多的东西
[02:05] 比如说你的agents.md
[02:07] 然后你可能你还会加载一些skills agents
[02:12] agents.md里面还会要求它再去读别的文件
[02:15] 那实际上在你的agent的第一次停下来和你对话的时候
[02:20] 它里面已经有很多很多的东西了
[02:22] 就从最初的这个系统提示词开始
[02:26] 有可能是你的那个agent harness，像codex
[02:29] Claude Code它内建的
[02:32] 然后除此之外，你的所有的工具调用和工具调用的结果
[02:37] 它实际上也是出现在你的上下文里
[02:39] 它是一个线性的上下文
[02:41] 然后直到有一天哈你的user会和他聊天
[02:46] 说哎给我做一个游戏吧
[02:47] 所以提示词是非常非常长的
[02:51] 这也意味着今天agent的能力是非常离谱的
[02:56] 他可以看到一个非常长的提示词
[02:58] 比如说你在最早的system prompt里面可以让他用中文回答
[03:03] 我就会因为我为了上课的效果
[03:05] 我就会让他用中文回答
[03:06] 哪怕我用英文写prompt
[03:09] 就我这边的user message是英文
[03:11] 它输出的仍然是中文
