[00:00] 我们上周讲了一点版本管理
[00:03] 我们这周继续讲版本管理
[00:04] 然后我发布了一个作业
[00:07] 然后按照之前的说法
[00:08] 就是这门课所有的作业大家都是选做自愿完成
[00:13] 然后最后当然肯定会验收
[00:15] 因为最终也许学校会让我们提交一个成绩
[00:19] 那么大家就会教一些链接
[00:23] 然后由我的机器人来给大家评分
[00:26] 然后我们的第一个lab
[00:29] 算是一个比较时髦的需求
[00:32] 叫会成长的
[00:35] 个人助手
[00:36] 然后他现在对大家的要求都是不限
[00:39] 你们想怎么做就怎么做
[00:41] 然后最好还是可以vibe code一个
[00:42] 而且我今天应该会课上会留的时间
[00:45] 我自己就来vibe code一个
[00:47] 然后我会告诉大家
[00:48] 如果你直接让他vibe code的时候
[00:50] 你会遇到什么样的小坑
[00:52] 然后除了今天以外
[00:53] 我下一周
[00:54] 而不是下一周
[00:55] 是这周日要调休
[00:57] 周二的课
[00:58] 所以这周日还有课
[00:59] 然后会讲软件的架构
[01:01] 然后会把它会把它连起来
[01:03] 然后这个例例子就是你们特别特别
[01:06] 每个同学都会需要的
[01:07] 我自己自己也有的
[01:08] 就是一个能够持续为你工作的个人助手
[01:12] 然后你可以这些需求是供你参考的
[01:14] 当然如果你实现它的话
[01:15] 会有一点点成就感
[01:17] 比如说你的学习的数据库
[01:18] 你
[01:19] 你们这个学期可能会在上一些专业必修课
[01:23] 可能计算机网络或者数概率之类
[01:27] 比较困难的
[01:28] 专业课
[01:28] 然后你可以把你的专业课的资料
[01:31] 放到你的个人数据库里
[01:32] 或者你参与了研究组的课题的时候
[01:35] 你可以把你们研究组的论文相关的文献
[01:38] 教科书这些整理成你的个人的数据库
[01:41] 这是一种形式的数据库不限
[01:42] 你也可以把你自己的个人信息
[01:45] 我不知道大家是不是已经填表
[01:47] 已经填的很烦了
[01:48] 每次你填表的时候
[01:50] 都是给你一个DOC的表格
[01:51] 然后在那个表格里要填姓名名
[01:53] 学号
[01:54] 身份证号
[01:54] 然后有时候是个人简历这个那个
[01:57] 然后我现在已经把这些所有的事情都交给agent了
[01:59] 就是好把这个东西填了
[02:01] 啊这
[02:02] 觉觉得从往以往到今年
[02:05] 有一个非常大的效率进步
[02:07] 今年我记得我大概在疫情的时候
[02:10] 我招过一个学生
[02:12] 然后研究生研究生就在我这里做了3年
[02:15] 做了一个什么
[02:15] 就是自动填表系统
[02:17] 就我们就填
[02:17] 觉得填表很烦
[02:18] 然后等到他毕业的时候
[02:20] 突然有个ChatGPT
[02:21] 然后又很慌
[02:22] 他做他觉得他做的事情马上就要被替代了
[02:25] 我说不要紧
[02:26] 你赶快答辩
[02:26] 然后就可以毕业毕业了
[02:29] 然后这世界就是发展的
[02:31] 这么快
[02:32] 然后在个人数据库的基础上
[02:33] 你可以把数据库和你的email的邮箱
[02:37] 关联关联起来
[02:39] 如果有也就有可能的话
[02:41] 比如说我在两周以后会在半夜给大家发邮件
[02:44] 然后你的agent呢可能会把邮件回回给我
[02:46] 就实现一个always on的一个在后台
[02:49] 你们也许买一个很小的那种嵌入式的小设备
[02:52] 一两百块钱
[02:53] 你就可以在你的宿舍里面
[02:54] 持续的跑你的agent loop
[02:57] 这样然后
[02:59] 以及用你的信息可以办理一卡通的事务
[03:01] 就像我上课的时候对
[03:02] 这就是一句话
[03:04] 你直接一个像agent的子进程的调用就可以
[03:09] 然后如果你们有兴趣的话
[03:11] 可以做一个手机端的联动
[03:12] 也许是一个网页
[03:13] 也许是一个别的
[03:15] 就甚至是一个苹果的app或者是一个android的app
[03:18] 就你只要让agent的去做
[03:19] 他会自自自己去帮你下好所有需要的东西
[03:22] 然后把你要的东西给啊给出给做出来了对
[03:29] 然后为什么要布置这样的实验
[03:31] 就看起来就所有的任务都在AI的能力范围之内
[03:35] 但是如果你直接我今天会试的
[03:38] 我没有试过
[03:39] 直接把这个实验要求直接让AI去做
[03:42] 他在一开始就会做出很多
[03:45] 可能他认为看起来也合理的决定
[03:48] 但是这些决定会让你那项目的维护
[03:51] 变得越来越困难
[03:52] 越来越困难
[03:52] 最后直到陷入啊焦油坑
[03:54] 所以我觉得是每个同学都有
[03:57] 都有必要体验一下软件工程里面的焦油坑
[04:01] 也就是你当你的AI slop
[04:03] 开始不断的消耗你的token的时候
[04:05] 你终于会有一天会下定决心好
[04:08] 我要把这个项目删掉
[04:09] 从头重做
[04:10] 或者就回退到从某一个很早期的版本开始
[04:14] 从头做
[04:15] 那这是我们这个实验可能想要
[04:18] 告诉大家的事情好
[04:21] 当然我
[04:21] 我相信这个项目对每个同学来说都是有用的
[04:24] 这是我也是我设计实验的初衷
[04:27] 我大概会这样
[04:29] 我可以提前预告一下
[04:31] 我的下一个lab会和这个lab有非常大的关联
[04:35] 而且你们暂时猜不到
[04:38] 然后呢你会发现你就你现在lab1
[04:42] 比如说那些实验要求你都做好了
[04:44] 然后他成为一个非常非常舒适的个人助手
[04:47] 然后我怕给你加一个需求
[04:48] 然后这个需求和前面所有都是关联
[04:51] 并且有一定的冲突
[04:52] 然后你的一点就去改
[04:54] 然后越改越崩溃
[04:55] 越改越崩溃
[04:56] 就有一个这样的这样的体验
[04:58] 所以大家可以期待一下这个
[05:00] 这个后面的后面的lab
[05:01] 所以如果你不做
[05:02] 比如说你现在lab1选择躺倒
[05:05] 或或者就不管它
[05:07] 让AI直接就做
[05:07] 下一次再把这个做的直接删掉
[05:09] 那可能就没有这个软件工程的体验了
[05:13] 大概是我想要做这样的一个啊lab好
[05:17] 我们回顾一下
[05:18] 我们上节课讲的是软件的项目管理
[05:21] 项目我们说项目是各种文件的集合
[05:23] 你的intent
[05:25] 一些设计文档
[05:25] 你的README都在
[05:28] 都在你的项项目里
[05:29] 所以所以其实我不喜欢那种AI写出来
[05:32] 那个非常非常长的这个README
[05:35] 我喜欢的是对我来说
[05:37] 我觉得README应该
[05:38] 就写一下你在设计这个项目的时候
